City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
339,Bandarbeyla,49,SO,2021-09-25 22:18:09,86,9.4942,50.8122,77.14,19.77
340,Cidreira,2,BR,2021-09-25 22:18:09,88,-30.1811,-50.2056,62.64,8.72
341,Barinitas,83,VE,2021-09-25 22:18:10,89,8.7622,-70.4111,74.3,1.43
342,Kilakarai,98,IN,2021-09-25 22:14:22,73,9.2333,78.7833,81.39,10.47
343,Brae,96,GB,2021-09-25 22:18:10,95,60.3964,-1.353,53.51,10.31
344,Verkhnevilyuysk,4,RU,2021-09-25 22:18:10,95,63.4453,120.3167,27.16,4.07
345,Dongsheng,100,CN,2021-09-25 22:18:11,86,39.8161,109.9776,57.16,8.14
346,Komsomolets,100,KZ,2021-09-25 22:18:11,36,53.7453,62.0708,52.88,11.86
347,Waingapu,74,ID,2021-09-25 22:18:12,81,-9.6567,120.2641,73.96,6.42
348,Aranos,1,NA,2021-09-25 22:18:12,15,-24.1333,19.1167,71.38,12.24
349,Walvis Bay,4,NA,2021-09-25 22:18:12,93,-22.9575,14.5053,55.09,4.61
350,Banjar,92,ID,2021-09-25 22:18:13,88,-8.19,114.9675,78.66,3.29
351,Albion,40,US,2021-09-25 22:18:13,45,42.2431,-84.753,65.21,9.22
352,Kaeng Khoi,100,TH,2021-09-25 22:18:13,93,14.5862,100.9976,78.15,5.93
353,Kalangala,87,UG,2021-09-25 22:18:14,76,-0.3089,32.225,69.03,12.24
354,Egvekinot,88,RU,2021-09-25 22:18:14,70,66.3167,-179.1667,23.09,2.53
355,Lompoc,1,US,2021-09-25 22:18:14,76,34.6391,-120.4579,85.01,10.36
356,Kurilsk,41,RU,2021-09-25 22:18:15,76,45.2333,147.8833,52.75,9.66
357,Sabang,100,ID,2021-09-25 22:18:15,81,5.8933,95.3214,80.31,20.74
358,Bocas Del Toro,100,PA,2021-09-25 22:18:16,70,9.3333,-82.25,89.08,6.24
359,Vargem Alta,19,BR,2021-09-25 22:18:16,75,-20.6714,-41.0069,62.13,5.82
360,Sidi Ali,100,DZ,2021-09-25 22:17:12,80,36.0998,0.4206,70.56,7.9
361,Turayf,0,SA,2021-09-25 22:16:02,42,31.6725,38.6637,66.45,9.22
362,Kitama,5,TZ,2021-09-25 22:18:17,99,-10.7167,39.7333,64.99,2.64
363,Kokopo,77,PG,2021-09-25 22:18:17,72,-4.352,152.2633,82.11,7.2
364,Kamenka,79,RU,2021-09-25 22:15:09,85,51.3223,42.7678,49.15,9.53
365,Dukat,100,RU,2021-09-25 22:18:18,99,62.55,155.55,35.01,5.97
366,Simplicio Mendes,20,BR,2021-09-25 22:18:18,35,-7.8539,-41.9103,84.58,6.02
367,Krasnoslobodsk,0,RU,2021-09-25 22:18:19,100,48.7072,44.5714,51.55,8.95
368,Strezhevoy,100,RU,2021-09-25 22:17:21,86,60.7333,77.5889,37.38,11.27
369,Mayor Pablo Lagerenza,10,PY,2021-09-25 22:18:19,26,-19.9309,-60.7718,89.6,0.96
370,Boulder City,1,US,2021-09-25 22:18:20,22,35.9786,-114.8325,94.35,18.41
371,Makokou,95,GA,2021-09-25 22:18:20,95,0.5738,12.8642,68.4,2.89
